ID,Song,Artist,Genre,TopSongs
,You Shook Me all Night Long,AC/DC,M Rock,true
,YMCA,Village People,Disco,true
,What a Wonderful World,Louis Armstrong,50s,true
,Twist N Shout,Beatles,60s,true
,Summer of 69,Bryan Adams,F Rock,true
,Stayin Alive,Bee Gees,Disco,true
,Starships,Nicki Minaj,F Dance,true
,Some Kind if Wonderful,Grand Funk,M Rock,true
,Single Ladies,Beyonce,F Dance,true
,Save a Horse (Ride A Cowboy),Big N Rich,F Country,true
,Satisfaction,Rolling Stones,F Rock,true
,Rumor Has It,Adele,M Dance,true
,Respect,Aretha Frankin,60s,true
,Rasputin,Boney M,Disco,true
,Pretty Woman,Roy Orbison,60s,true
,Party Rock Anthem,LMFAO,F Dance,true
,On The Floor,Jennifer Lopez and Pitbull,F Dance,true
,Old Time Rock N Roll,Bob Seger,F Rock,true
,Moves Like Jagger,Maroon 5,F Dance,true
,Mambo # 5,Lou Bega,F Dance,true
,La Bamba,Los Lobos,60s,true
,I Love It,Icono Pop,F Dance,true
,I Gotta Feeling,Black Eyed Peas,F Dance,true
,Happy,Pharell Wiiliams,F Dance,true
,Grease Megamix,John Travolta and Olivia Newton John,80s,true
,Good Feelin,Flo Rida,F Dance,true
,Give Me Everything,Pitbull,F Dance,true
,Get Lucky,Daft Punk,F Dance,true
,Gangnam Style,Psy,F Dance,true
,Don't Stop This Party,Pitbull,F Dance,true
,Dancing Queen,Abba,Disco,true
,Celebration,Kool and the Gang,Disco,true
,Brown Eyed Girl,Van Morrison,60s,true
,Billy Jean,Michael Jackson,80s,true
,Billy Idol,Mony Mony,F Dance,true
,500 Miles,Proclaimers,M Dance,true
,Lady In Red,Chris De Burgh,S Dance,true
,Sexyback,Justin Timberlake,Hip Hop,true
,Only Girl In the World,Rihanna,F Dance,true
,Sweet Home Alabama,Lynyrd Skynard,M Rock,true
,Twist,Chuby Checker,60s,true
,Cruise,Florida Georgia Line,M Country,true
,"Shake,Rattle and Roll",Bill Haley,60s,true
,Rock Around The Clock,Bill Haley,60s,true
,Home For A Rest,Spirit of the West,Celtic,true
,Man I Fell Like a woman,Shania Twain,F Country,true
,Born This Way,Lady Gaga,F Dance,true
,Just Dance,Lady Gaga,F Dance,true
,Bad Romance,Lady Gaga,F Dance,true
,Ex's and Ohs,Elle King,F Dance,true
,Hello,Adele,S Dance,true
,Shut Up and Dance,Walk the Moon,F Dance,true
,Uptown Funk,Bruno Mars and Mark Ronson,F Dance,true
,What do You Mean,Justin Beiber,M Dance,true
,Can't Feel My Face,The Weeknd,M Dance,true
,Downtown,Macklemore  and Ryan,M Dance,true
,Thinking Out Loud,Ed Sheeran,S Dance,true
,All of Me,John Legend,S Dance,true
,Sugar,Maroon 5,M Dance,true
,Cake By The Ocean,DNCE,F Dance,true
,Don't Stop Believing,Journey,M Rock,true
,Sweet Caroline,Neil Diamond,Adult Contemporary,true
,Living On A Prayer,Bon Jovi,F Rock,true
,Marry You,Bruno Mars,S Dance,true
,Cha Cha Slide,DJ Casper,M Dance,true
,Yeah,Usher,Hip Hop,true
,Timber,Pitbull and Kesha,F Dance,true
,Love Shack,B 52s,F Dance,true
,Shout,Otis Day,F Dance,true
,Time Warp,Rocky Horror,F Dance,true
,Friends in Low Places,Garth Brooks,S Country,true
,Pour Some Sugar On Me,Def Leppard,M Rock,true
,Baby Got Back,Sir Mix a lot,F Dance,true
,All About The Bass,Meghan Trainor,M Dance,true
