id,artist,genre,title,favourite
1,213,HipHop,Intro,
2,213,HipHop,Twist Yo Body,
3,213,HipHop,Absolutely,
4,213,HipHop,Sassy Ways,
5,213,HipHop,Groupie Luv,
6,213,HipHop,Wait A Minute,
7,213,HipHop,Another Summer,yes
8,213,HipHop,213 The Gangsta Clicc,
9,213,HipHop,Ups & Downs,
10,213,HipHop,Gotta Find A Way,
11,213,HipHop,Joysticc,
12,213,HipHop,Rick James Interlude,
13,213,HipHop,Mary Jane,
14,213,HipHop,MLK,
15,213,HipHop,Lil Girl,
16,213,HipHop,Give It Up,
17,213,HipHop,Never Love A Ho,
18,213,HipHop,Appreciation,
19,213,HipHop,So Fly,
20,3,HipHop,Batuka,
21,3,HipHop,No One To Depend On,
22,3,HipHop,Taboo,
23,3,HipHop,Toussaint L'Overture,
24,3,HipHop,Everybody's Everything,
25,3,HipHop,Guajira,
26,3,HipHop,Jungle Strut,
27,3,HipHop,Everything's Coming Our Way,
28,3,HipHop,Para Los Rumberos,
29,A Tribe Called Quest,HipHop,Check The Rhime,
30,A Tribe Called Quest,HipHop,Bonita Applebum,
31,A Tribe Called Quest,HipHop,Award Tour,
32,A Tribe Called Quest,HipHop,Can I Kick It_,
33,A Tribe Called Quest,HipHop,Scenario,
34,A Tribe Called Quest,HipHop,Buggin' Out,yes
35,A Tribe Called Quest,HipHop,Electric Relaxation,
36,A Tribe Called Quest,HipHop,Jazz (We've Got),
37,A Tribe Called Quest,HipHop,I Left My Wallet In El Segundo,
38,A Tribe Called Quest,HipHop,Hot Sex,
39,A Tribe Called Quest,HipHop,Oh My God,
40,A Tribe Called Quest,HipHop,Keeping It Moving,
41,A Tribe Called Quest,HipHop,Sucka Nigga,
42,A Tribe Called Quest,HipHop,Midnight Marauders Tour Guide,
43,A Tribe Called Quest,HipHop,Steve Biko (Stir It Up),
44,A Tribe Called Quest,HipHop,Award Tour,
45,A Tribe Called Quest,HipHop,8 Million Stories,
46,A Tribe Called Quest,HipHop,Sucka Nigga,
47,A Tribe Called Quest,HipHop,Midnight,
48,A Tribe Called Quest,HipHop,We Can Get Down,
49,A Tribe Called Quest,HipHop,Electric Relaxation,
50,A Tribe Called Quest,HipHop,Clap Your Hands,
51,A Tribe Called Quest,HipHop,Oh My God,
52,A Tribe Called Quest,HipHop,Keep It Rollin',
53,A Tribe Called Quest,HipHop,"Chase, Pt. 2",
54,A Tribe Called Quest,HipHop,Lyrics to Go,
55,A Tribe Called Quest,HipHop,God Lives Through,
56,A Tribe Called Quest,HipHop,Start It Up,
57,A Tribe Called Quest,HipHop,Find a Way,
58,A Tribe Called Quest,HipHop,Booty,
59,A Tribe Called Quest,HipHop,Steppin' It Up - Redman,
60,A Tribe Called Quest,HipHop,Like It Like That,
61,A Tribe Called Quest,HipHop,Common Ground (Get It Goin' On),
62,A Tribe Called Quest,HipHop,Moms - Spanky,
63,A Tribe Called Quest,HipHop,His Name Is Mutty Ranks,
64,A Tribe Called Quest,HipHop,Give Me - Noreaga,
